Query,ID,Paper,Link,ID,Dupe?,Source
Music,188,A Comprehensive Survey for Evaluation Methodologies of AI-Generated Music,https://arxiv.org/abs/2308.13736,188,#N/A,arXiv
Music,180,A Generalized Bandsplit Neural Network for Cinematic Audio Source Separation,https://arxiv.org/abs/2309.02539,180,#N/A,arXiv
Music,177,A Long-Tail Friendly Representation Framework for Artist and Music Similarity,https://arxiv.org/abs/2309.04182,177,#N/A,arXiv
Music,261,A Multi-Scale Attentive Transformer for Multi-Instrument Symbolic Music Generation,https://arxiv.org/abs/2305.16592,261,#N/A,arXiv
Music,265,A study of audio mixing methods for piano transcription in violin-piano ensembles,https://arxiv.org/abs/2305.13758,265,#N/A,arXiv
Music,200,An Autoethnographic Exploration of XAI in Algorithmic Composition,https://arxiv.org/abs/2308.06089,200,#N/A,arXiv
Music,245,Anticipatory Music Transformer,https://arxiv.org/abs/2306.08620,245,#N/A,arXiv
Music,298,AudioLM: a Language Modeling Approach to Audio Generation,https://arxiv.org/abs/2209.03143,298,#N/A,arXiv
Music,199,BigWavGAN: A Wave-To-Wave Generative Adversarial Network for Music Super-Resolution,https://arxiv.org/abs/2308.06483,199,#N/A,arXiv
Music,255,Blind Audio Bandwidth Extension: A Diffusion-Based Zero-Shot Approach,https://arxiv.org/abs/2306.01433,255,#N/A,arXiv
Music,218,Brain2Music: Reconstructing Music from Human Brain Activity,https://arxiv.org/abs/2307.11078,218,#N/A,arXiv
Music,286,Byte Pair Encoding for Symbolic Music,https://arxiv.org/abs/2301.11975,286,#N/A,arXiv
Music,208,Choir Transformer: Generating Polyphonic Music with Relative Attention on Transformer,https://arxiv.org/abs/2308.02531,208,#N/A,arXiv
Music,253,Controllable Lyrics-to-Melody Generation,https://arxiv.org/abs/2306.02613,253,#N/A,arXiv
Music,211,DAVIS: High-Quality Audio-Visual Separation with Generative Diffusion Models,https://arxiv.org/abs/2308.00122,211,#N/A,arXiv
Music,300,DEEPCHORUS: A Hybrid Model of Multi-scale Convolution and Self-attention for Chorus Detection,https://arxiv.org/abs/2202.06338,300,#N/A,arXiv
Music,270,Discrete Diffusion Probabilistic Models for Symbolic Music Generation,https://arxiv.org/abs/2305.09489,270,#N/A,arXiv
Music,262,Efficient Neural Music Generation,https://arxiv.org/abs/2305.15719,262,#N/A,arXiv
Music,198,EMID: An Emotional Aligned Dataset in Audio-Visual Modality,https://arxiv.org/abs/2308.07622,198,#N/A,arXiv
Music,236,EmoGen: Eliminating Subjective Bias in Emotional Music Generation,https://arxiv.org/abs/2307.01229,236,#N/A,arXiv
Music,251,Emotion-Conditioned Melody Harmonization with Hierarchical Variational Autoencoder,https://arxiv.org/abs/2306.03718,251,#N/A,arXiv
Music,231,Emotion-Guided Music Accompaniment Generation Based on Variational Autoencoder,https://arxiv.org/abs/2307.04015,231,#N/A,arXiv
Music,215,Emotion4MIDI: a Lyrics-based Emotion-Labeled Symbolic Music Dataset,https://arxiv.org/abs/2307.14783,215,#N/A,arXiv
Music,284,ERNIE-Music: Text-to-Waveform Music Generation with Diffusion Models,https://arxiv.org/abs/2302.04456,284,#N/A,arXiv
Music,192,Exploiting Time-Frequency Conformers for Music Audio Enhancement,https://arxiv.org/abs/2308.12599,192,#N/A,arXiv
Music,176,Exploring Domain-Specific Enhancements for a Neural Foley Synthesizer,https://arxiv.org/abs/2309.04641,176,#N/A,arXiv
Music,196,Exploring Sampling Techniques for Generating Melodies with a Transformer Language Model,https://arxiv.org/abs/2308.09454,196,#N/A,arXiv
Music,277,Exploring Softly Masked Language Modelling for Controllable Symbolic Music Generation,https://arxiv.org/abs/2305.03530,277,#N/A,arXiv
Music,201,Exploring XAI for the Arts: Explaining Latent Space in Generative Music,https://arxiv.org/abs/2308.05496,201,#N/A,arXiv
Music,301,FIGARO: Generating Symbolic Music with Fine-Grained Artistic Control,https://arxiv.org/abs/2201.10936,301,#N/A,arXiv
Music,207,From Discrete Tokens to High-Fidelity Audio Using Multi-Band Diffusion,https://arxiv.org/abs/2308.02560,207,#N/A,arXiv
Music,183,FSD: An Initial Chinese Dataset for Fake Song Detection,https://arxiv.org/abs/2309.02232,183,#N/A,arXiv
Music,267,Generating coherent comic with rich story using ChatGPT and Stable Diffusion,https://arxiv.org/abs/2305.11067,267,#N/A,arXiv
Music,181,Generating Realistic Images from In-the-wild Sounds,https://arxiv.org/abs/2309.02405,181,#N/A,arXiv
Music,281,Generating symbolic music using diffusion models,https://arxiv.org/abs/2303.08385,281,#N/A,arXiv
Music,279,Generative Disco: Text-to-Video Generation for Music Visualization,https://arxiv.org/abs/2304.08551,279,#N/A,arXiv
Music,268,GETMusic: Generating Any Music Tracks with a Unified Representation and Diffusion Framework,https://arxiv.org/abs/2305.10841,268,#N/A,arXiv
